0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 31 0
8 0 91 0
9 0 123 95
10 0 138 168
11 0 651 178
12 0 1297 628
13 0 1343 1513
14 0 947 724
15 0 504 574
16 1 309 441
17 2 282 262
18 1 283 211
19 0 297 248
20 3 324 292
21 6 313 399
22 4 447 432
23 14 355 289
24 15 307 253
25 31 293 200
26 57 315 221
27 35 291 184
28 22 347 198
29 43 390 207
30 44 382 213
31 35 422 233
32 21 399 262
33 119 450 257
34 72 412 240
35 62 397 207
36 97 386 242
37 42 420 320
38 28 497 404
39 128 628 330
40 93 775 327
41 85 987 368
42 34 1189 363
43 127 1236 304
44 84 1378 321
45 77 1244 379
46 92 1317 345
47 26 1173 373
48 33 985 401
49 121 747 425
50 91 661 440
51 55 555 471
52 39 463 522
53 114 433 486
54 70 391 487
55 117 392 516
56 176 337 496
57 61 321 528
58 74 334 554
59 184 350 586
60 98 327 571
61 98 306 656
62 65 297 590
63 117 299 676
64 125 307 624
65 131 308 476
66 123 256 356
67 132 291 310
68 59 330 324
69 77 314 253
70 146 289 216
71 102 330 184
72 140 348 200
73 71 370 181
74 114 406 190
75 120 390 147
76 114 394 161
77 90 454 134
78 143 499 142
79 79 561 137
80 77 601 140
81 110 673 141
82 106 544 161
83 125 461 149
84 77 471 138
85 129 557 154
86 188 617 168
87 218 726 138
88 100 768 139
89 187 919 150
90 141 925 134
91 125 904 117
92 140 794 126
93 148 772 102
94 150 797 144
95 131 877 108
96 168 1040 104
97 175 938 125
98 201 931 128
99 163 733 141
100 160 669 108
101 182 506 132
102 175 492 122
103 193 412 130
104 188 403 134
105 207 370 122
106 234 345 121
107 263 332 130
108 298 322 138
109 320 342 124
110 329 328 148
111 386 235 128
112 405 254 121
113 475 237 137
114 529 213 160
115 562 218 150
116 613 192 146
117 605 204 155
118 582 222 180
119 547 184 132
120 629 172 178
121 613 191 157
122 619 149 157
123 580 153 140
124 542 157 141
125 555 137 140
126 574 140 136
127 522 124 155
128 536 140 137
129 545 114 154
130 470 127 171
131 460 120 170
132 438 102 132
133 466 97 133
134 440 113 145
135 489 106 147
136 437 85 152
137 458 108 153
138 471 82 145
139 472 87 152
140 390 73 140
141 400 88 148
142 368 100 153
143 433 78 156
144 418 71 162
145 432 81 177
146 417 78 196
147 460 79 163
148 537 72 156
149 502 84 192
150 499 79 182
151 435 76 143
152 481 70 184
153 460 69 173
154 484 80 188
155 460 63 174
156 431 88 176
157 447 78 197
158 405 68 216
159 385 78 234
160 387 76 218
161 425 70 237
162 375 71 273
163 404 71 269
164 391 81 258
165 335 68 291
166 354 73 281
167 385 85 275
168 423 85 264
169 363 81 296
170 422 77 298
171 383 67 283
172 409 68 268
173 433 74 288
174 462 93 305
175 503 64 363
176 453 66 357
177 460 79 378
178 527 53 407
179 519 56 375
180 515 61 360
181 540 43 394
182 558 56 400
183 542 57 431
184 577 62 421
185 562 52 488
186 511 65 500
187 531 74 519
188 549 50 529
189 492 63 507
190 518 62 530
191 555 57 492
192 574 61 508
193 566 64 500
194 559 68 530
195 570 80 465
196 567 48 497
197 716 47 473
198 819 60 497
199 913 58 472
200 952 43 475
201 929 57 451
202 911 62 467
203 912 47 501
204 812 38 441
205 815 47 443
206 707 50 451
207 575 34 444
208 500 41 479
209 432 42 491
210 435 38 556
211 355 50 609
212 377 59 592
213 481 49 533
214 334 37 587
215 270 45 499
216 242 46 450
217 203 29 362
218 198 26 344
219 150 11 306
220 130 13 298
221 126 6 286
222 120 6 180
223 75 4 178
224 66 2 154
225 54 0 165
226 39 2 176
227 30 1 202
228 23 0 210
229 24 0 207
230 12 3 201
231 15 0 192
232 3 0 150
233 5 1 103
234 6 0 64
235 3 0 65
236 4 0 47
237 3 0 33
238 2 0 17
239 2 1 26
240 3 0 9
241 0 0 4
242 0 0 6
243 0 0 5
244 0 0 2
245 1 0 0
246 1 0 0
247 0 0 0
248 0 0 0
249 0 0 2
250 0 0 0
251 1 0 0
252 0 0 0
253 0 0 0
254 0 0 1
255 0 0 0
